catasto,OMI,OMIk,OMId,fascia,zona,cod_prev,stato_prev,microzona
F299,F29900D1,AG00000241,C.DA PIANO LANTERNA (V.LE DEI FIORI-BERLINGUER-LA MALFA-EOLO-BRINDISI-FAVIGNANA-BOLOGNA-BARI-TRIESTE-CATANIA-ENNA),D,D1,21,N,0
F299,F29900D2,AG00000427,C.DA INFICHERNA (V.LA TORRE-MATTARELLA-K7-DELLO SPORT-MIRAGLIA-GIOLITTI),D,D2,21,N,0
F299,F29900D3,AG00000856,C.DA CIUCCAFA (V.GAGINI-RANDONE-BUTTITTA-NOVELLI-SCIASCIA-MARINUZZI-LIZZI-SERPOTTA-FIUME-MARTOGLIO-BUFALINO),D,D3,21,N,0
F299,F29900D4,AG00000857,V.VINCENZELLA-DIAZ-ALFA-GRANCIARA-GIARDINA-GRAMSCI-TIZIANO-EINAUDI-LA MALFA (PARTE) - GIOLITTI (PARTE),D,D4,21,N,0
F299,F29900E2,AG00001176,LOCALITA LIDO AZZURRO - DURRUELI,E,E2,1,N,0
F299,F29900E3,AG00001177,LOCALITA PERO,E,E3,1,N,0
F299,F29900R1,AG00000811,RURALE,R,R1,101,,1
F299,F29900R2,AG00000858,RURALE,R,R2,101,,3
F301,F30100B1,RC00001105,"PIAZZA UMBERTO I, C.SO REG. MARGHERITA, VIA FOSSA, L.GO FONTANA .",B,B1,21,N,1
F301,F30100D1,RC00004163,"VIA PICCOLA, LOC. TRAMONTANA, CERASANI, SS. 111, GALIZIA.",D,D1,21,N,1
F301,F30100E1,RC00003132,"LOC. LEPRO, PANEBIANCO, EVOLI, BELLINA, CONSALVO, INFARINATA, RIMANENTE TERRITORIO IN ZONA AGRICOLA.",E,E1,20,N,1
F301,F30100R1,RC00004649,VILLAGGIO MONTE TREPITO`  E TERRITORIO IN ZONA MONTANA,R,R1,0,,0
F301,F30100R2,RC00004648,TERRITORIO AGRICOLO IN ZONE COLLINARI E PEDEMONTANE,R,R2,0,,0
F304,F30400B2,LC00002632,INTERO TERRITORIO,B,B2,20,N,1
F305,F30500B3,CO00004222,CENTRALE DI PREGIO,B,B3,20,N,1
F305,F30500B4,CO00004762,CENTRALE SOPRA SS,B,B4,20,N,0
F305,F30500D1,CO00001705,PERIFERICA,D,D1,20,N,1
F305,F30500R1,CO00004763,RURALE MONTANA,R,R1,0,,0
F306,F30600B1,VI00000776,CENTRO STORICO E AREE LIMITROFE,B,B1,20,N,0
F306,F30600C1,VI00000777,SEMICENTRO,C,C1,20,N,1
F306,F30600D1,VI00000778,PERIFERIA,D,D1,20,N,1
F306,F30600E1,VI00002597,MURE DI MOLVENA,E,E1,20,N,0
F306,F30600R1,VI00002596,ZONA RURALE,R,R1,101,,0
F307,F30700B1,TN00000523,CENTRO ABITATO,B,B1,20,O,1
F307,F30700D1,TN00002053,PRODUTTIVA,D,D1,10,N,1
F307,F30700R1,TN00001990,ZONA RURALE,R,R1,108,,1
F308,F30800B1,AT00000779,CENTRO ABITATO,B,B1,20,N,1
F308,F30800D1,AT00000780,FUORI CENTRO ABITATO,D,D1,1,N,1
F308,F30800R1,AT00002394,ZONA RURALE,R,R1,108,,0
F309,F30900B1,CN00002802,CENTRO URBANO,B,B1,20,N,1
F309,F30900R1,CN00007776,ZONE AGRICOLE DEL TERRITORIO COMUNALE,R,R1,197,,1
F310,F31000B1,PS00000769,CENTRALE,B,B1,20,N,1
F310,F31000D1,PS00000770,PERIFERICA,D,D1,20,N,1
F310,F31000E1,PS00001350,ZONA INDUSTRIALE-CAIRO,E,E1,7,N,0
F310,F31000E2,PS00001905,DA VILLAGRANDE A BEATO SANTE,E,E2,20,N,0
F310,F31000R1,PS00001349,AGRICOLA COLLINARE SCARSAMENTE INSEDIATA,R,R1,0,,0
F311,F31100B1,AT00000791,CENTRO ABITATO,B,B1,20,N,1
F311,F31100D1,AT00000792,FUORI CENTRO ABITATO,D,D1,1,N,1
F311,F31100R1,AT00002284,ZONA RURALE,R,R1,129,,0
F312,F31200B1,CN00002823,CENTRO URBANO,B,B1,20,N,1
F312,F31200R1,CN00007789,ZONE AGRICOLE DEL TERRITORIO COMUNALE,R,R1,197,,1
F312,F31200R2,CN00007790,AGRICOLA,R,R2,197,,2
F312,F31200R3,CN00007791,AGRICOLA,R,R3,197,,3
F313,F31300B1,AL00002995,CENTRO URBANO,B,B1,20,N,1
F313,F31300D1,AL00001465,ZONA DI ESPANSIONE,D,D1,20,N,1
F313,F31300R1,AL00004258,ZONA AGRICOLA,R,R1,197,,1
F315,F31500B1,TO00000463,INTERO TERRITORIO COMUNALE,B,B1,21,N,1
F315,F31500R1,TO00003078,CAMPAGNA,R,R1,0,,0
F316,F31600B1,AT00000803,CENTRO URBANO,B,B1,20,N,1
F316,F31600D1,AT00000804,FUORI CENTRO ABITATO,D,D1,7,N,1
F316,F31600R1,AT00002283,ZONA RURALE,R,R1,129,,0
F317,F317000R,NO00002014,AGRICOLA,R,R,0,,1
F317,F31700B1,NO00000598,CENTRALE,B,B1,20,N,1
F317,F31700C1,NO00000599,SEMICENTRALE,C,C1,20,N,1
F317,F31700D1,NO00000600,PERIFERICA RESIDENZIALE,D,D1,20,N,1
F317,F31700E1,NO00002281,FRAZIONE AGNELLENGO-CASTELLETTO-ALZATE,E,E1,20,N,1
F318,F31800B1,TO00000465,INTERO TERRITORIO COMUNALE,B,B1,21,N,1
